,timestamp,open,high,low,close,volume
0,2022-08-12,4.252,4.266,4.238,4.255,205589750
1,2022-08-11,4.183,4.26,4.176,4.254,348050250
2,2022-08-10,4.202,4.216,4.148,4.166,203763170
3,2022-08-09,4.202,4.219,4.19,4.211,241824360
4,2022-08-08,4.201,4.219,4.193,4.204,157282360
5,2022-08-05,4.156,4.224,4.153,4.218,393385250
6,2022-08-04,4.139,4.162,4.122,4.153,261750870
7,2022-08-03,4.18,4.209,4.111,4.122,376662820
8,2022-08-02,4.21,4.21,4.132,4.167,543973260
9,2022-08-01,4.206,4.248,4.181,4.238,298391480
10,2022-07-29,4.283,4.305,4.211,4.22,471265350
11,2022-07-28,4.292,4.33,4.275,4.279,369581030
12,2022-07-27,4.29,4.297,4.268,4.276,257178620
13,2022-07-26,4.277,4.32,4.274,4.3,376254540
14,2022-07-25,4.285,4.288,4.253,4.271,251676080
15,2022-07-22,4.301,4.335,4.259,4.289,314768800
16,2022-07-21,4.315,4.338,4.285,4.286,310492640
17,2022-07-20,4.34,4.36,4.318,4.331,299838370
18,2022-07-19,4.337,4.337,4.285,4.319,353527000
19,2022-07-18,4.312,4.359,4.274,4.341,389115110
20,2022-07-15,4.35,4.4,4.293,4.295,737307110
21,2022-07-14,4.355,4.389,4.336,4.36,326414270
22,2022-07-13,4.355,4.379,4.328,4.359,295600300
23,2022-07-12,4.382,4.407,4.338,4.352,343539200
24,2022-07-11,4.446,4.446,4.37,4.388,452207500
25,2022-07-08,4.491,4.513,4.457,4.464,208249030
26,2022-07-07,4.445,4.488,4.422,4.468,403045950
27,2022-07-06,4.5,4.51,4.423,4.452,318962720
28,2022-07-05,4.526,4.565,4.462,4.511,392115820
29,2022-07-04,4.478,4.523,4.449,4.521,387421730
30,2022-07-01,4.52,4.525,4.474,4.493,445571240
31,2022-06-30,4.454,4.545,4.453,4.508,568051560
32,2022-06-29,4.498,4.527,4.443,4.458,544835600
33,2022-06-28,4.46,4.526,4.433,4.513,374882380
34,2022-06-27,4.429,4.499,4.429,4.461,455981050
35,2022-06-24,4.375,4.426,4.363,4.413,414833850
36,2022-06-23,4.291,4.367,4.284,4.365,405693920
37,2022-06-22,4.34,4.347,4.282,4.29,361964270
38,2022-06-21,4.342,4.378,4.305,4.34,422401550
39,2022-06-20,4.331,4.388,4.308,4.342,732434460
40,2022-06-17,4.241,4.337,4.235,4.321,715647400
41,2022-06-16,4.298,4.317,4.249,4.258,507512040
42,2022-06-15,4.233,4.364,4.233,4.285,1121885210
43,2022-06-14,4.165,4.24,4.115,4.236,624902550
44,2022-06-13,4.21,4.223,4.17,4.196,579900250
45,2022-06-10,4.159,4.26,4.158,4.248,648069140
46,2022-06-09,4.215,4.234,4.173,4.19,291614830
47,2022-06-08,4.185,4.23,4.165,4.224,427291050
48,2022-06-07,4.161,4.202,4.155,4.182,380864190
49,2022-06-06,4.092,4.177,4.065,4.176,423835900
50,2022-06-02,4.066,4.098,4.058,4.094,290132610
